,upc,sku,Manufacturer,productGuide,mfgPart,Sku,Upc,Upc14,BatteryChemistry,numberOfCells,maximumBatteryRunTime,fingerPrintReader,frontCamera,Hdmi,networkRJ45,totalNumberOfUsbPorts,numberOfUsb3.0Ports,aspectRatio,screenResolution,screenSize,graphicsControllerManufacturer,graphicsControllerModel,graphicsMemoryTechnology,graphicsMemoryAccessibility,displayScreenTechnology,productType,manufacturerPartNumber,manufacturer,productModel,productName,productSeries,brandName,standardMemory,memoryTechnology,packageContents,greenCompliant,greenComplianceCertificate,bluetooth,wirelessLAN,wirelessLANStandard,weightApproximate,color,height,width,depth,opticalDriveType,solidStateDriveCapacity,processorSpeed,processorType,processorModel,processorCore,processorManufacturer,operatingSystem,operatingSystemArchitecture,operatingSystemPlatform,limitedWarranty,headphone.microphoneComboPort,microHdmi,touchScreen,flashMemoryCapacity
579,8.89801E+11,286066200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581,8.89899E+11,294033426,Hewlett Packard,,V2W32UT#ABA,294033426,889899102732,00889899102732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
585,8.88863E+11,283592185,Acer,,NX.MPKAA.013,283592185,888863172276,00888863172276,,6-cell,,No,Yes,Yes,Yes,3,1,16:9,1366 x 768,"15.6""",Intel,HD Graphics,DDR3L SDRAM,Shared,,Notebook,NX.MPKAA.013,"Acer, Inc",E5-511-C33M,Aspire E5-511-C33M Notebook,E5-511,Acer,4 GB,DDR3L SDRAM,Aspire E5-511-C33M NotebookLithium Ion BatteryAC Adapter,,,Yes,Yes,IEEE 802.11b/g/n,5.51 lb,,"1.2""","15""","10.1""",DVD-Writer,,1.83 GHz,Celeron,N2940,Quad-core (4 Core),Intel,Windows 8.1,64-bit,Windows,,,,,
587,8.88863E+11,288389790,Acer,,NX.MYYAA.002,288389790,888863117871,00888863117871,,4-cell,,No,Yes,Yes,Yes,3,2,16:9,1366 x 768,"15.6""",Intel,HD Graphics,DDR3L SDRAM,Shared,ComfyView,Notebook,NX.MYYAA.002,"Acer, Inc",E5-532-C0K3,Aspire E5-532-C0K3 Notebook,E5-532,Acer,4 GB,DDR3L SDRAM,Aspire E5-532-C0K3 NotebookLithium Ion BatteryAC Adapter,,,Yes,Yes,IEEE 802.11ac,5.29 lb,,"1.1""","15""","10.1""",DVD-Writer,,1.60 GHz,Celeron,N3150,Quad-core (4 Core),Intel,Windows 10 Home,64-bit,Windows,,,,,
588,8.88863E+11,288389791,Acer,,NX.MYVAA.004,288389791,888863341610,00888863341610,,4-cell,,No,Yes,Yes,Yes,3,2,16:9,1366 x 768,"15.6""",Intel,HD Graphics,DDR3L SDRAM,Shared,ComfyView,Notebook,NX.MYVAA.004,"Acer, Inc",E5-532-C7K4,Aspire E5-532-C7K4 Notebook,E5-532,Acer,4 GB,DDR3L SDRAM,Aspire E5-532-C7K4 NotebookLithium Ion BatteryAC Adapter,,,Yes,Yes,IEEE 802.11ac,5.29 lb,,"1.1""","15""","10.1""",DVD-Writer,,1.60 GHz,Celeron,N3150,Quad-core (4 Core),Intel,Windows 10 Home,64-bit,Windows,,,,,
589,8.88863E+11,288389762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,8.879E+11,275311136,Acer,,NX.VA1AA.007,275311136,887899981548,00887899981548,,4-cell,7 Hour,No,Yes,Yes,Yes,3,1,16:9,1366 x 768,"11.6""",Intel,HD Graphics,DDR3L SDRAM,Shared,ComfyView,Notebook,NX.VA1AA.007,"Acer, Inc",TMB115-M-C99B,TravelMate TMB115-M-C99B Notebook,B115-M,Acer,4 GB,DDR3L SDRAM,TravelMate TMB115-M-C99B NotebookLithium Ion BatteryAC Adapter,,,Yes,Yes,IEEE 802.11a/b/g/n,2.91 lb,Black,"0.8""","11.5""","8.3""",No,,2.16 GHz,Celeron,N2840,Dual-core (2 Core),Intel,Windows 7 Professional,64-bit,Windows,,,,,
592,8.89895E+11,288371972,HP INC. - SB NOTEBOOKS,,T4M36UT#ABA,288371972,889894582935,00889894582935,,3-cell,4.50 Hour,,,Yes,Yes,3,1,16:9,1366 x 768,"15.6""",AMD,Radeon R2,DDR3L SDRAM,Shared,,Notebook,T4M36UT#ABA,HP Inc.,,255 G4 Notebook PC (ENERGY STAR),255 G4,HP,4 GB,DDR3L SDRAM,255 G4 Notebook PC (ENERGY STAR)Lithium Polymer BatteryAC AdapterWindows 10 Pro Liscense Media,Yes,ENERGY STAR,Yes,Yes,IEEE 802.11b/g/n,4.63 lb,,"1""","15.1""","10""",DVD-Writer,,1.40 GHz,E-Series,E1-6015,Dual-core (2 Core),AMD,Windows 7 Professional Upgradable to Windows 10 Pro,64-bit,Windows,1 Year,,,,
593,8.84116E+11,292335808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,8.89661E+11,292339794,Toshiba America Information Systems  INC,,819732881cf6d659,292339794,889661034049,00889661034049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
598,8.87173E+11,292340099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,12300268271,260974726,Acer,,NX.MHGAA.002,260974726,887899443244,00887899443244,,4-cell,4 Hour,No,Yes,Yes,Yes,3,1,16:9,1366 x 768,"15.6""",Intel,HD Graphics,DDR3 SDRAM,Shared,,Notebook,NX.MHGAA.002,"Acer, Inc",E1-532-35584G50Mnrr,Aspire E1-532-35584G50Mnrr Notebook,E1-532,Acer,4 GB,DDR3L SDRAM,Aspire E1-532-35584G50Mnrr NotebookLithium Ion BatteryAC Adapter,,,Yes,Yes,IEEE 802.11b/g/n,5.18 lb,Red,"1""","15""","10.1""",DVD-Writer,,1.70 GHz,Pentium,3558U,Dual-core (2 Core),Intel,Windows 7 Home Premium,64-bit,Windows,,,,,
603,8.88863E+11,288389771,Acer,,NX.MYWAA.001,288389771,888863341627,00888863341627,,4-cell,,No,Yes,Yes,Yes,3,2,16:9,1366 x 768,"15.6""",Intel,HD Graphics,DDR3L SDRAM,Shared,ComfyView,Notebook,NX.MYWAA.001,"Acer, Inc",E5-532-C9YY,Aspire E5-532-C9YY Notebook,E5-532,Acer,4 GB,DDR3L SDRAM,Aspire E5-532-C9YY NotebookLithium Ion BatteryAC Adapter,,,Yes,Yes,IEEE 802.11ac,5.29 lb,,"1.1""","15""","10.1""",DVD-Writer,,1.60 GHz,Celeron,N3150,Quad-core (4 Core),Intel,Windows 10 Home,64-bit,Windows,,,,,
609,8.89894E+11,292334043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,8.89234E+11,277653936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,8.88794E+11,268807377,HP INC. - SB NOTEBOOKS,,J8U83UT#ABA,268807377,888793577509,00888793577509,,4-cell,,Yes,,Yes,Yes,3,2,16:9,1366 x 768,"13.3""",Intel,HD Graphics 4400,DDR3L SDRAM,Shared,,Notebook,J8U83UT#ABA,HP Inc.,,ProBook 430 G2 Notebook PC,430 G2,HP,4 GB,DDR3L SDRAM,ProBook 430 G2 Notebook PCLithium Ion BatteryAC AdapterPower CordWindows 8.1 Pro License Media,Yes,WEEE /  EU WEEE /  EPEAT Gold,Yes,Yes,IEEE 802.11a/b/g/n,3.53 lb,Black /  Gray,"0.8""","12.8""","9.2""",No,,1.70 GHz,Core i3,i3-4005U,Dual-core (2 Core),Intel,Windows 7 Professional Upgradable to Windows 8.1 Pro,64-bit,Windows,1 Year,Yes,,No,
615,8.879E+11,270277484,Acer,,NX.MLVAA.002,270277484,887899756023,00887899756023,,6-cell,,No,Yes,Yes,Yes,3,1,16:9,1366 x 768,"15.6""",Intel,HD Graphics,DDR3 SDRAM,Shared,,Notebook,NX.MLVAA.002,"Acer, Inc",E5-531-P4SQ,Aspire E5-531-P4SQ Notebook,E5-531,Acer,4 GB,DDR3L SDRAM,Aspire E5-531-P4SQ NotebookLithium Ion BatteryAC Adapter,,,Yes,Yes,IEEE 802.11b/g/n,5.51 lb,Gray,"1.2""","15""","10.1""",DVD-Writer,,1.70 GHz,Pentium,3556U,Dual-core (2 Core),Intel,Windows 7 Home Premium,64-bit,Windows,,,,,
617,8.84116E+11,294949614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618,8.89234E+11,277653984,Lenovo,,20DHS00800,277653984,889233743423,00889233743423,,6-cell,6.30 Hour,,,Yes,Yes,3,2,16:9,1366 x 768,"15.6""",AMD,Radeon R4 Graphics,DDR3L SDRAM,Shared,,Notebook,20DHS00800,Lenovo Group Limited,20DHS00800,ThinkPad E555 20DHS00800,E555,Lenovo,4 GB,DDR3L SDRAM,ThinkPad E555 20DHS00800Lithium Ion BatteryAC AdapterWindows 8.1 Pro License Media,Yes,EPEAT Gold /  ENERGY STAR /  RoHS,,,,5.20 lb,Graphite Black,"1.1""","14.8""","10""",,,2.20 GHz,A-Series,A6-7000,Dual-core (2 Core),AMD,Windows 7 Professional Upgradable to Windows 8.1 Pro,64-bit,Windows,1 Year,Yes,,,
619,8.89349E+11,287017265,Asus,Asus,X555LA-DH31(WX),287017265,889349186923,00889349186923,,2-cell,,,,Yes,Yes,3,2,16:9,1366 x 768,"15.6""",Intel,HD Graphics 4400,DDR3L SDRAM,Shared,,Notebook,X555LA-DH31(WX),ASUS Computer International,X555LA-DH31(WX),X555LA-DH31(WX) Notebook,X555LA,Asus,4 GB,DDR3L SDRAM, X555LA-DH31(WX) Notebook Lithium Polymer Battery AC Adapter ,Yes,RoHS /  ENERGY STAR 4.0,Yes,Yes,IEEE 802.11b/g/n,5.10 lb,Black,"1""","15""","10.1""",DVD-Writer,,1.70 GHz,Core i3,i3-4005U,Dual-core (2 Core),Intel,Windows 10,64-bit,Windows,1 Year,Yes,,No,
620,8.88793E+11,265486531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621,8.86228E+11,283017565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624,8.88864E+11,297436858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,8.88182E+11,269348856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
626,8.879E+11,269250106,Acer,,NX.MLFAA.010,269250106,887899808562,00887899808562,,6-cell,,No,Yes,Yes,Yes,3,1,16:9,1366 x 768,"15.6""",AMD,Radeon R3 Graphics,DDR3 SDRAM,Shared,,Notebook,NX.MLFAA.010,"Acer, Inc",E5-521-435W,Aspire E5-521-435W Notebook,E5-521,Acer,4 GB,DDR3L SDRAM,Aspire E5-521-435W NotebookLithium Ion BatteryAC Adapter,,,Yes,Yes,IEEE 802.11b/g/n,5.51 lb,Black,"1.2""","15""","10.1""",DVD-Writer,,1.80 GHz,A-Series,A4-6210,Quad-core (4 Core),AMD,Windows 8.1,64-bit,Windows,,,,,
627,22265951361,282570693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,22265892862,292334874,Toshiba,Toshiba,1be82311660202fe,292334874,022265892862,00022265892862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,8.89801E+11,292340152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631,1.90404E+11,294872102,Lenovo,Lenovo,20GF0001US,294872102,190404094665,00190404094665,,3-cell,,,Yes,Yes,Yes,2,2,16:9,1366 x 768,"11.6""",Intel,HD Graphics,LPDDR3,Shared,Twisted nematic (TN),Notebook,20GF0001US,Lenovo Group Limited,20GF0001US,ThinkPad 11e 20GF0001US Notebook,11e,Lenovo,4 GB,LPDDR3,ThinkPad 11e 20GF0001US NotebookLithium Polymer BatteryAC Adapter,,,Yes,Yes,IEEE 802.11ac,,,,,,,,1.60 GHz,Celeron,N3150,Quad-core (4 Core),Intel,Chrome OS,,Chrome OS,1 Year,Yes,,,
648,8.84116E+11,283405406,Dell Consumer,,i3543-5752BLK,283405406,884116165026,00884116165026,,4-cell,,,,Yes,,3,1,16:9,1366 x 768,"15.6""",Intel,HD Graphics 5500,DDR3L SDRAM,Shared,,Notebook,i3543-5752BLK,"Dell, Inc",15-3543,Inspiron 15 3000 15-3543 Notebook,15 3000,Dell,4 GB,DDR3L SDRAM, Inspiron 15 3000 15-3543 Notebook Standard Battery AC Adapter ,Yes,ENERGY STAR 6.0 /  EPEAT Silver,Yes,Yes,IEEE 802.11n,4.76 lb,Black,"1""","15""","10.5""",DVD-Writer,,2 GHz,Core i3,i3-5005U,Dual-core (2 Core),Intel,Windows 8.1 (English),64-bit,Windows,,Yes,,Yes,
653,8.89233E+11,276172770,Lenovo,Lenovo,59440076,276172770,889233201381,00889233201381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654,8.88864E+11,295683984,Acer,,NT.G20AA.001,295683984,888863602117,00888863602117,,2-cell,,No,Yes,,,,,16:10,1280 x 800,"10.1""",Intel,HD Graphics,DDR3L SDRAM,Shared,In-plane Switching (IPS) Technology,2 in 1 Netbook,NT.G20AA.001,"Acer, Inc",SW3-013-10P7,Aspire SW3-013-10P7 2 in 1 Netbook,SW3-013,Acer,2 GB,DDR3L SDRAM,Aspire SW3-013-10P7 2 in 1 NetbookLithium Polymer BatteryAC Adapter Keyboard Dock,,,Yes,Yes,IEEE 802.11a/b/g/n,2.65 lb,,"0.9""","10.3""","7.1""",No,,1.33 GHz,Atom,Z3735F,Quad-core (4 Core),Intel,Windows 10 Home,32-bit,Windows,,Yes,Yes,Yes,
655,8.88864E+11,295877436,Acer,,NT.G0NAA.002,295877436,888863602087,00888863602087,,2-cell,,No,Yes,,,,,16:10,1280 x 800,"10.1""",Intel,HD Graphics,DDR3L SDRAM,Shared,In-plane Switching (IPS) Technology,2 in 1 Netbook,NT.G0NAA.002,"Acer, Inc",SW3-013-145P,Aspire SW3-013-145P 2 in 1 Netbook,SW3-013,Acer,2 GB,DDR3L SDRAM,Aspire SW3-013-145P 2 in 1 NetbookLithium Polymer BatteryAC Adapter Keyboard Dock,,,Yes,Yes,IEEE 802.11a/b/g/n,2.65 lb,,"0.9""","10.3""","7.1""",No,,1.33 GHz,Atom,Z3735F,Quad-core (4 Core),Intel,Windows 10 Home,32-bit,Windows,,Yes,Yes,Yes,
656,8.88864E+11,295877418,Acer,,NT.G21AA.001,295877418,888863602124,00888863602124,,2-cell,,No,Yes,,,,,16:10,1280 x 800,"10.1""",Intel,HD Graphics,DDR3L SDRAM,Shared,In-plane Switching (IPS) Technology,2 in 1 Netbook,NT.G21AA.001,"Acer, Inc",SW3-013-127H,Aspire SW3-013-127H 2 in 1 Netbook,SW3-013,Acer,2 GB,DDR3L SDRAM,Aspire SW3-013-127H 2 in 1 NetbookLithium Polymer BatteryAC Adapter Keyboard Dock,,,Yes,Yes,IEEE 802.11a/b/g/n,2.65 lb,,"0.9""","10.3""","7.1""",No,,1.33 GHz,Atom,Z3735F,Quad-core (4 Core),Intel,Windows 10 Home,32-bit,Windows,,Yes,Yes,Yes,
657,8.88864E+11,295877417,Acer,,NT.G0QAA.002,295877417,888863602094,00888863602094,,2-cell,,No,Yes,,,,,16:10,1280 x 800,"10.1""",Intel,HD Graphics,DDR3L SDRAM,Shared,In-plane Switching (IPS) Technology,2 in 1 Netbook,NT.G0QAA.002,"Acer, Inc",SW3-013-19AZ,Aspire SW3-013-19AZ 2 in 1 Netbook,SW3-013,Acer,2 GB,DDR3L SDRAM,Aspire SW3-013-19AZ 2 in 1 NetbookLithium Polymer BatteryAC Adapter Keyboard Dock,,,Yes,Yes,IEEE 802.11a/b/g/n,2.65 lb,,"0.9""","10.3""","7.1""",No,,1.33 GHz,Atom,Z3735F,Quad-core (4 Core),Intel,Windows 10 Home,32-bit,Windows,,Yes,Yes,Yes,
658,6.83406E+11,285928464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,8.88863E+11,286999797,Acer,,NX.G83AA.003,286999797,888863387779,00888863387779,,4-cell,,No,Yes,Yes,Yes,2,,16:9,1366 x 768,"11.6""",Intel,HD Graphics,DDR3L SDRAM,Shared,,Notebook,NX.G83AA.003,"Acer, Inc",R3-131T-C3GG,Aspire R3-131T-C3GG Notebook,R3-131T,Acer,4 GB,DDR3L SDRAM,Aspire R3-131T-C3GG NotebookLithium Polymer BatteryAC Adapter,,,Yes,Yes,IEEE 802.11a/b/g/n/ac,3.48 lb,,"0.8""","11.7""","8.3""",No,,1.60 GHz,Celeron,N3150,Quad-core (4 Core),Intel,Windows 10 Home,64-bit,Windows,,,,Yes,
663,8.84116E+11,287865802,Dell Consumer,,i5552-3521BLK,287865802,884116203933,00884116203933,,4-cell,7 Hour,,,Yes,,3,1,16:9,1366 x 768,"15.6""",Intel,HD Graphics,DDR3L SDRAM,Shared,TrueLife,Notebook,i5552-3521BLK,"Dell, Inc",15-5552,Inspiron 15-5552 Notebook,,Dell,4 GB,DDR3L SDRAM, Inspiron 15-5552 Notebook Lithium Ion Battery AC Adapter ,Yes,EPEAT Silver /  ENERGY STAR 6.0,Yes,Yes,IEEE 802.11ac,5.11 lb,Textured Black,"0.9""","15""","10.3""",DVD-Writer,,1.60 GHz,Celeron,N3050,Dual-core (2 Core),Intel,Windows 10 Home (English),64-bit,Windows,,Yes,,No,
664,8.84116E+11,287088171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665,1.90151E+11,294490040,Lenovo,Lenovo,80KR0015US,294490040,190151270848,00190151270848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667,8.89349E+11,281153225,ASUS - CHROMEBOOK,ASUS - CHROMEBOOK,90NL0912-M00300,281153225,889349057841,00889349057841,,2-cell,13 Hour,,,,,2,,16:9,1366 x 768,"11.6""",ARM,Mali-T764,,,,Chromebook,90NL0912-M00300,ASUS Computer International,C201PA-DS01,Chromebook C201PA-DS01,C201,Asus,2 GB,DDR3 SDRAM, Chromebook C201PA-DS01 AC Adapter User E-Manual Warranty Card ,Yes,RoHS,Yes,Yes,IEEE 802.11ac,2 lb,Navy Blue,"0.7""","11.3""","7.6""",No,16 GB,1.80 GHz,Cortex A17,RK3288,Quad-core (4 Core),Rockchip,Chrome OS,,Chrome OS,1 Year,Yes,Yes,No,
677,8.89349E+11,292333964,ASUS Computers,,F555LA-AB31,292333964,889349158609,00889349158609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680,8.84116E+11,268614781,Dell,,i3147-3750sLV,268614781,884116145813,00884116145813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
683,8.88863E+11,289212866,Acer,,NX.G55AA.003,289212866,888863475520,00888863475520,,3-cell,,No,Yes,Yes,,2,1,16:9,1366 x 768,"11.6""",Intel,HD Graphics,DDR3L SDRAM,Shared,In-plane Switching (IPS) Technology,Chromebook,NX.G55AA.003,"Acer, Inc",C738T-C5R6,C738T-C5R6 Chromebook,C738T,Acer,4 GB,DDR3L SDRAM,C738T-C5R6 ChromebookLithium Ion BatteryAC Adapter,,,Yes,Yes,IEEE 802.11a/b/g/n/ac,2.76 lb,,"0.8""","11.6""","8""",No,,1.60 GHz,Celeron,N3150,Quad-core (4 Core),Intel,Chrome OS,,Chrome OS,,,,Yes,32 GB
684,9.19575E+11,269250106,Acer,,NX.MLFAA.010,269250106,887899808562,00887899808562,,6-cell,,No,Yes,Yes,Yes,3,1,16:9,1366 x 768,"15.6""",AMD,Radeon R3 Graphics,DDR3 SDRAM,Shared,,Notebook,NX.MLFAA.010,"Acer, Inc",E5-521-435W,Aspire E5-521-435W Notebook,E5-521,Acer,4 GB,DDR3L SDRAM,Aspire E5-521-435W NotebookLithium Ion BatteryAC Adapter,,,Yes,Yes,IEEE 802.11b/g/n,5.51 lb,Black,"1.2""","15""","10.1""",DVD-Writer,,1.80 GHz,A-Series,A4-6210,Quad-core (4 Core),AMD,Windows 8.1,64-bit,Windows,,,,,
685,8.88864E+11,296132188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
687,8.89349E+11,278457485,Asus,,TF103CE-A2-EDU-BK,278457485,889349008607,00889349008607,,,,,Yes,,,1,,16:10,1280 x 800,"10.1""",Intel,HD Graphics,LPDDR3,Shared,In-plane Switching (IPS) Technology,Net-tablet PC,TF103CE-A2-EDU-BK,ASUS Computer International,TF103CE-A2-EDU-BK,Transformer Pad TF103CE-A2-EDU-BK Net-tablet PC,TF103CE,Asus,2 GB,LPDDR3,Transformer Pad TF103CE-A2-EDU-BK Net-tablet PCTransformer DockPower PlugUSB CableUser E-ManualWarranty Card,Yes,RoHS,Yes,Yes,IEEE 802.11a/b/g/n,2.40 lb,Black,"0.8""","10.1""","7""",No,,1.33 GHz,Atom,Z3745,Quad-core (4 Core),Intel,Android 5.0 Lollipop,,Android,1 Year,,,,16 GB
688,8.89894E+11,292333920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690,8.88863E+11,278626298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
691,8.879E+11,270431046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697,8.89296E+11,276946618,Hewlett Packard,,L4A02UT#ABA,276946618,889296226925,00889296226925,,,,,Yes,,,,,16:10,1280 x 800,"10.1""",Intel,HD Graphics,DDR3L SDRAM,Shared,In-plane Switching (IPS) Technology,Tablet,L4A02UT#ABA,HP Inc.,,Pro Slate 10 EE G1 Tablet (ENERGY STAR),10 EE G1,HP,2 GB,DDR3L SDRAM,Pro Slate 10 EE G1 Tablet (ENERGY STAR)AC Charger with Integrated CableQuick Start Guide,Yes,ENERGY STAR /  WEEE /  RoHS 2,Yes,Yes,IEEE 802.11a/b/g/n,1.88 lb,Lava Gray,"0.6""","11""","7.2""",No,,1.33 GHz,Atom,Z3735F,Quad-core (4 Core),Intel,Android 4.4 KitKat,,Android,1 Year,,,,32 GB
699,8.879E+11,265607797,Acer,,NX.SHEAA.017,265607797,887899561566,00887899561566,,3-cell,8.50 Hour,No,Yes,Yes,,2,1,16:9,1366 x 768,"11.6""",Intel,HD 4400,DDR3 SDRAM,Shared,ComfyView,Chromebook,NX.SHEAA.017,"Acer, Inc",C720-34054G03aii,C720-34054G03aii Notebook,C720,Acer,4 GB,DDR3L SDRAM,C720-34054G03aii NotebookLithium Polymer BatteryAC Adapter,Yes,EPEAT Silver,Yes,Yes,IEEE 802.11a/b/g/n,2.76 lb,,"0.8""","11.3""","8""",No,32 GB,1.70 GHz,Core i3,i3-4005U,Dual-core (2 Core),Intel,Chrome OS,64-bit,Chrome OS,,,,,
702,8.89895E+11,287881529,Hewlett Packard,,T3L14UT#ABA,287881529,889894515100,00889894515100,,2-cell,9.50 Hour,,,,,2,1,16:9,1366 x 768,"11.6""",Intel,HD Graphics,DDR3L SDRAM,Shared,,Notebook,T3L14UT#ABA,HP Inc.,,Stream 11 Pro G2 Notebook,,HP,4 GB,DDR3L SDRAM, Stream 11 Pro G2 Notebook Lithium Polymer Battery AC Adapter ,Yes,ENERGY STAR,Yes,,,2.43 lb,,"0.7""","11.8""","8.1""",No,,1.60 GHz,Celeron,N3050,Dual-core (2 Core),Intel,Windows 10 Pro,64-bit,Windows,1 Year,Yes,,,
703,8.89894E+11,284438514,Hewlett Packard,,N3Y36UA#ABA,284438514,889894143952,00889894143952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
704,96633106141,208344488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,8.86228E+11,277228144,ASUS - CHROMEBOOK,,C300MA-DH02-LTE,277228144,886227977796,00886227977796,,3-cell,10 Hour,,,Yes,,2,1,16:9,1366 x 768,"13.3""",Intel,HD Graphics,DDR3L SDRAM,Shared,,Chromebook,90NB05W1-M00590,ASUS Computer International,C300MA-DH02-LTE,Chromebook C300MA-DH02-LTE Notebook,C300MA,Asus,4 GB,DDR3L SDRAM, Chromebook C300MA-DH02-LTE Notebook Lithium Ion Battery AC Adapter User E-Manual Warranty Card ,Yes,RoHS /  ENERGY STAR 4.0,Yes,Yes,IEEE 802.11ac,3.10 lb,Black,"0.9""","13""","9.1""",No,,2.16 GHz,Celeron,N2830,Dual-core (2 Core),Intel,Chrome OS,,Chrome OS,1 Year,Yes,,No,
707,8.879E+11,265486559,Acer,,NX.V98AA.002,265486559,887899525896,00887899525896,,4-cell,5.50 Hour,No,Yes,Yes,Yes,3,1,16:9,1366 x 768,"15.6""",Intel,HD 4400,DDR3 SDRAM,Shared,,Notebook,NX.V98AA.002,"Acer, Inc",TMP255-MP-34014G50Mtkk,TravelMate TMP255-MP-34014G50Mtkk Notebook,P255-MP,Acer,4 GB,DDR3L SDRAM,TravelMate TMP255-MP-34014G50Mtkk NotebookLithium Ion BatteryAC Adapter,,,Yes,Yes,IEEE 802.11a/b/g/n,5.62 lb,Black,"1""","15""","10.1""",DVD-Writer,,1.70 GHz,Core i3,i3-4010U,Dual-core (2 Core),Intel,Windows 8.1,64-bit,Windows,,,,Yes,
710,8.89894E+11,292333749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
711,8.88183E+11,292332931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
713,8.84116E+11,265455968,Dell,,i5748-2143sLV,265455968,884116144885,00884116144885,,4-cell,,,Yes,Yes,Yes,3,1,16:9,1600 x 900,"17.3""",Intel,HD Graphics 4400,DDR3 SDRAM,Shared,TrueLife,Notebook,i5748-2143sLV,"Dell, Inc",17-5748,Inspiron 17-5748 Notebook,17 5000,Dell,4 GB,DDR3L SDRAM, Inspiron 17-5748 Notebook Standard Battery AC Adapter ,Yes,EPEAT Silver /  ENERGY STAR 6.0,Yes,Yes,IEEE 802.11n,6.60 lb,Silver,"1.1""","16.2""","10.6""",DVD-Writer,,1.90 GHz,Core i3,i3-4030U,Dual-core (2 Core),Intel,Windows 8.1 (English),64-bit,Windows,,Yes,,No,
714,8.84116E+11,292333128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
